,Unnamed: 0,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
1459,1798,5-iodouracil,octanol,C1=C(C(=O)NC(=O)N1)I,CCCCCCCCO,-18.77
1403,1725,"2,2,2-trifluoroethanol",octanol,C(C(F)(F)F)O,CCCCCCCCO,-4.81
124,163,1-heptanol,bromobenzene,CCCCCCCO,C1=CC=C(C=C1)Br,-6.68
438,595,trimethylphosphate,cyclohexane,COP(=O)(OC)OC,C1CCCCC1,-5.67
544,768,o-xylene,diethylether,CC1=CC=CC=C1C,CCOCC,-5.58
1924,2452,5-iodouracil,water,C1=C(C(=O)NC(=O)N1)I,O,-18.72
1185,1486,p-bromophenol,nitrobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)[N+](=O)[O-],-9.76
1281,1592,propene,octanol,CC=C,CCCCCCCCO,-1.14
575,801,butylamine,diethylether,CCCCN,CCOCC,-4.24
926,1186,1-fluorooctane,hexadecane,CCCCCCCCF,CCCCCCCCCCCCCCCC,-5.25
1692,2125,toluene,water,CC1=CC=CC=C1,O,-0.89
618,848,hexanoicacid,diisopropylether,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CC(C)OC(C)C,-8.23
1561,1972,toluene,tetrahydrofuran,CC1=CC=CC=C1,C1CCOC1,-5.5
296,434,butanoicacid,chloroform,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,C(Cl)(Cl)Cl,-5.99
1611,2036,p-bromophenol,toluene,C1=CC(=CC=C1O)Br,CC1=CC=CC=C1,-8.7
149,190,1-pentanol,bromoform,CCCCCO,C(Br)(Br)Br,-5.34
2272,2935,t-butanol,water,CC(C)(C)O,O,-82.3
2307,2977,ammonia,water,N,O,-74.6
2194,2836,3-chlorophenol,methanol,C1=CC(=CC(=C1)Cl)O,CO,-64.0
838,1088,m-xylene,hexadecane,CC1=CC(=CC=C1)C,CCCCCCCCCCCCCCCC,-5.24
1386,1708,"1,4-dichlorobenzene",octanol,C1=CC(=CC=C1Cl)Cl,CCCCCCCCO,-5.67
1514,1886,butanoicacid,pentanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCO,-7.74
480,645,fluorobenzene,decalin,C1=CC=C(C=C1)F,C1CCC2CCCCC2C1,-3.44
2072,2684,"2,4-dinitrophenol",acetonitrile,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,CC#N,-36.0
240,373,p-cresol,chlorobenzene,CC1=CC=C(C=C1)O,C1=CC=C(C=C1)Cl,-7.23
70,105,aniline,benzene,C1=CC=C(C=C1)N,C1=CC=CC=C1,-6.88
1163,1462,thiophenol,methylenechloride,C1=CC=C(C=C1)S,C(Cl)Cl,-7.11
2261,2921,diphenylamine,water,C1=CC=C(C=C1)NC2=CC=CC=C2,O,-54.6
73,108,N-methylaniline,benzene,CNC1=CC=CC=C1,C1=CC=CC=C1,-6.64
602,830,formamide,diethylether,C(=O)N,CCOCC,-5.97
2168,2801,phenylacetylene,dimethylsulfoxide,C#CC1=CC=CC=C1,CS(=O)C,-56.4
1740,2177,methylformate,water,COC=O,O,-2.78
1838,2285,phosphine,water,P,O,0.6
332,478,triethylphosphate,chloroform,CCOP(=O)(OCC)OCC,C(Cl)(Cl)Cl,-10.9
1769,2212,propionitrile,water,CCC#N,O,-3.85
