,index,Unnamed: 0,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
0,1459,1798,5-iodouracil,octanol,C1=C(C(=O)NC(=O)N1)I,CCCCCCCCO,-18.77
1,1403,1725,"2,2,2-trifluoroethanol",octanol,C(C(F)(F)F)O,CCCCCCCCO,-4.81
2,124,163,1-heptanol,bromobenzene,CCCCCCCO,C1=CC=C(C=C1)Br,-6.68
3,438,595,trimethylphosphate,cyclohexane,COP(=O)(OC)OC,C1CCCCC1,-5.67
4,544,768,o-xylene,diethylether,CC1=CC=CC=C1C,CCOCC,-5.58
5,1924,2452,5-iodouracil,water,C1=C(C(=O)NC(=O)N1)I,O,-18.72
6,1185,1486,p-bromophenol,nitrobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)[N+](=O)[O-],-9.76
7,1281,1592,propene,octanol,CC=C,CCCCCCCCO,-1.14
8,575,801,butylamine,diethylether,CCCCN,CCOCC,-4.24
9,926,1186,1-fluorooctane,hexadecane,CCCCCCCCF,CCCCCCCCCCCCCCCC,-5.25
10,1692,2125,toluene,water,CC1=CC=CC=C1,O,-0.89
11,618,848,hexanoicacid,diisopropylether,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CC(C)OC(C)C,-8.23
12,1561,1972,toluene,tetrahydrofuran,CC1=CC=CC=C1,C1CCOC1,-5.5
13,296,434,butanoicacid,chloroform,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,C(Cl)(Cl)Cl,-5.99
14,1611,2036,p-bromophenol,toluene,C1=CC(=CC=C1O)Br,CC1=CC=CC=C1,-8.7
15,149,190,1-pentanol,bromoform,CCCCCO,C(Br)(Br)Br,-5.34
16,2272,2935,t-butanol,water,CC(C)(C)O,O,-82.3
17,2307,2977,ammonia,water,N,O,-74.6
18,2194,2836,3-chlorophenol,methanol,C1=CC(=CC(=C1)Cl)O,CO,-64.0
19,838,1088,m-xylene,hexadecane,CC1=CC(=CC=C1)C,CCCCCCCCCCCCCCCC,-5.24
