,Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
26,n-octane,acetonitrile,CCCCCCCC,CC#N,-3.57
27,toluene,acetonitrile,CC1=CC=CC=C1,CC#N,-4.68
28,ethanol,acetonitrile,CCO,CC#N,-4.43
29,"1,4-dioxane",acetonitrile,C1COCCO1,CC#N,-5.33
30,2-butanone,acetonitrile,CCC(=O)C,CC#N,-4.73
31,acetonitrile,acetonitrile,CC#N,CC#N,-4.85
32,nitromethane,acetonitrile,C[N+](=O)[O-],CC#N,-5.62
33,n-octane,acetophenone,CCCCCCCC,CC(=O)C1=CC=CC=C1,-4.24
34,toluene,acetophenone,CC1=CC=CC=C1,CC(=O)C1=CC=CC=C1,-4.9
35,ethanol,acetophenone,CCO,CC(=O)C1=CC=CC=C1,-4.12
36,"1,4-dioxane",acetophenone,C1COCCO1,CC(=O)C1=CC=CC=C1,-5.03
37,2-butanone,acetophenone,CCC(=O)C,CC(=O)C1=CC=CC=C1,-4.39
38,acetophenone,acetophenone,CC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=C1,-7.59
40,nitromethane,acetophenone,C[N+](=O)[O-],CC(=O)C1=CC=CC=C1,-4.92
41,hydrogenperoxide,acetophenone,OO,CC(=O)C1=CC=CC=C1,-7.3
42,n-octane,aniline,CCCCCCCC,C1=CC=C(C=C1)N,-3.48
43,toluene,aniline,CC1=CC=CC=C1,C1=CC=C(C=C1)N,-4.57
44,ethanol,aniline,CCO,C1=CC=C(C=C1)N,-4.45
45,"1,4-dioxane",aniline,C1COCCO1,C1=CC=C(C=C1)N,-5.65
46,2-butanone,aniline,CCC(=O)C,C1=CC=C(C=C1)N,-4.87
48,propanoicacid,aniline,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,C1=CC=C(C=C1)N,-6.2
49,aniline,aniline,C1=CC=C(C=C1)N,C1=CC=C(C=C1)N,-7.61
50,nitromethane,aniline,C[N+](=O)[O-],C1=CC=C(C=C1)N,-5.11
51,hydrogenperoxide,aniline,OO,C1=CC=C(C=C1)N,-7.8
52,n-octane,anisole,CCCCCCCC,COC1=CC=CC=C1,-4.62
