Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
methylpentanoate;xylene;CCCCC(=O)OC;CC1=CC=C(C=C1)C;-5.61
benzene;hexane;C1=CC=CC=C1;CCCCCC;-3.96
1-butanol;carbontet;CCCCO;C(Cl)(Cl)(Cl)Cl;-4.2
1,4-dioxane;dibutylether;C1COCCO1;CCCCOCCCC;-4.37
2-methylaniline;octane;CC1=CC=CC=C1N;CCCCCCCC;-6.06
ethanol;acetophenone;CCO;CC(=O)C1=CC=CC=C1;-4.12
pyridine;isobutanol;C1=CC=NC=C1;CC(C)CO;-5.87
p-hydroxybenzaldehyde;chloroform;C1=CC(=CC=C1C=O)O;C(Cl)(Cl)Cl;-10.3
1,4-dichlorobenzene;hexane;C1=CC(=CC=C1Cl)Cl;CCCCCC;-5.69
ethylacetate;perfluorobenzene;CCOC(=O)C;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-4.56
2-butanone;dimethylformamide;CCC(=O)C;CN(C)C=O;-4.56
2-butanone;diisopropylether;CCC(=O)C;CC(C)OC(C)C;-3.96
1-hexanol;dodecane;CCCCCCO;CCCCCCCCCCCC;-4.28
methylacetate;carbontet;CC(=O)OC;C(Cl)(Cl)(Cl)Cl;-3.82
1-hexanol;dibromoethane;CCCCCCO;CC(Br)Br;-6.08
propylacetate;ethylbenzene;CCCOC(=O)C;CCC1=CC=CC=C1;-4.95
piperidine;chloroform;C1CCNCC1;C(Cl)(Cl)Cl;-6.37
ethanol;heptane;CCO;CCCCCCC;-2.15
thiophene;heptane;C1=CSC=C1;CCCCCCC;-4.09
2-methylpropene;octanol;CC(=C)C;CCCCCCCCO;-2.03
ethanol;ethoxybenzene;CCO;CCOC1=CC=CC=C1;-3.45
aceticacid;benzene;CC(=O)O;C1=CC=CC=C1;-4.02
ethylacetate;tetrachloroethene;CCOC(=O)C;C(=C(Cl)Cl)(Cl)Cl;-4.22
1-butanol;odichlorobenzene;CCCCO;C1=CC=C(C(=C1)Cl)Cl;-3.9
naphthalene;cyclohexane;C1=CC=C2C=CC=CC2=C1;C1CCCCC1;-7.17
butylamine;undecane;CCCCN;CCCCCCCCCCC;-3.55
methanol;ethylacetate;CO;CCOC(=O)C;-3.37
methylpropanoate;nonane;CCC(=O)OC;CCCCCCCCC;-3.5
2-heptanone;ethylbenzene;CCCCCC(=O)C;CCC1=CC=CC=C1;-6.1
propanoicacid;xylene;CCC(=O)O;CC1=CC=C(C=C1)C;-4.72
methylacetate;pentadecane;CC(=O)OC;CCCCCCCCCCCCCCC;-2.82
1-nitropropane;water;CCC[N+](=O)[O-];O;-3.34
p-cresol;xylene;CC1=CC=C(C=C1)O;CC1=CC=C(C=C1)C;-7.18
4-methylaniline;butylacetate;CC1=CC=C(C=C1)N;CCCCCC(=O)[O-];-7.81
n-butane;water;CCCC;O;2.08
methylpropanoate;chlorobenzene;CCC(=O)OC;C1=CC=C(C=C1)Cl;-4.55
3,3-dimethylbutanone;water;CC(=O)C(C)(C)C;O;-2.89
methylpentanoate;isopropylbenzene;CCCCC(=O)OC;CC(C)C1=CC=CC=C1;-5.45
acetone;hexane;CC(=O)C;CCCCCC;-2.6
hexanoicacid;water;CCCCCC(=O)O;O;-6.21
benzene;carbontet;C1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-4.5
nitromethane;dibutylether;C[N+](=O)[O-];CCCCOCCCC;-3.67
ethylamine;iodobenzene;CCN;C1=CC=C(C=C1)I;-2.73
propanal;octanol;CCC=O;CCCCCCCCO;-4.13
